    t              u1             u2
0.436034       0.460946      -0.160872
0.436771       0.461715      -0.159946
0.437507       0.462483      -0.159019
0.438243       0.463249      -0.158093
0.438977       0.464014      -0.157166
0.439711       0.464777      -0.156239
0.440443       0.465539      -0.155313
0.441175         0.4663      -0.154386
0.441905        0.46706      -0.153459
0.442635       0.467819      -0.152532
0.443364       0.468576      -0.151605
0.444092       0.469332      -0.150678
0.444819       0.470087       -0.14975
0.445545        0.47084      -0.148823
0.44627       0.471592      -0.147895
0.446994       0.472343      -0.146968
0.447717       0.473093       -0.14604
0.44844       0.473842      -0.145112
0.449162       0.474589      -0.144185
0.449882       0.475335      -0.143257
0.450602        0.47608      -0.142329
0.451321       0.476824      -0.141401
0.45204       0.477566      -0.140472
0.452757       0.478307      -0.139544
0.453474       0.479048      -0.138616
0.454189       0.479787      -0.137687
0.454904       0.480524      -0.136759
0.455618       0.481261       -0.13583
0.456331       0.481996      -0.134902
0.457044       0.482731      -0.133973
0.457755       0.483464      -0.133044
0.458466       0.484196      -0.132115
0.459176       0.484926      -0.131186
0.459885       0.485656      -0.130257
0.460594       0.486385      -0.129328
0.461301       0.487112      -0.128399
0.462008       0.487838      -0.127469
0.462714       0.488563       -0.12654
0.46342       0.489287       -0.12561
0.464124        0.49001      -0.124681
0.464828       0.490732      -0.123751
0.465531       0.491452      -0.122821
0.466233       0.492172      -0.121892
0.466934        0.49289      -0.120962
0.467635       0.493608      -0.120032
0.468335       0.494324      -0.119102
0.469034       0.495039      -0.118172
0.469733       0.495753      -0.117242
0.470431       0.496466      -0.116311
0.471128       0.497178      -0.115381
0.471824       0.497889      -0.114451
0.47252       0.498598       -0.11352
0.473215       0.499307       -0.11259
0.473909       0.500015      -0.111659
0.474602       0.500721      -0.110729
0.475295       0.501427      -0.109798
0.475987       0.502131      -0.108867
0.476678       0.502834      -0.107936
0.477369       0.503537      -0.107005
0.478059       0.504238      -0.106074
0.478748       0.504938      -0.105143
0.479437       0.505637      -0.104212
0.480125       0.506336      -0.103281
0.480812       0.507033       -0.10235
0.481499       0.507729      -0.101418
0.482185       0.508424      -0.100487
0.48287       0.509118     -0.0995554
0.483555       0.509811     -0.0986239
0.484239       0.510503     -0.0976923
0.484922       0.511194     -0.0967606
0.485605       0.511884     -0.0958289
0.486287       0.512573     -0.0948971
0.486969       0.513261     -0.0939652
0.487649       0.513948     -0.0930333
0.488329       0.514634     -0.0921013
0.489009       0.515319     -0.0911693
0.489688       0.516004     -0.0902372
0.490366       0.516687      -0.089305
0.491044       0.517369     -0.0883728
0.491721        0.51805     -0.0874405
0.492397        0.51873     -0.0865081
0.493073       0.519409     -0.0855757
0.493749       0.520088     -0.0846432
0.494423       0.520765     -0.0837107
0.495097       0.521441     -0.0827781
0.495771       0.522117     -0.0818455
0.496444       0.522791     -0.0809127
0.497116       0.523464       -0.07998
0.497788       0.524137     -0.0790471
0.498459       0.524808     -0.0781143
0.499129       0.525479     -0.0771813
0.499799       0.526149     -0.0762483
0.500469       0.526817     -0.0753153
0.501138       0.527485     -0.0743821
0.501806       0.528152      -0.073449
0.502474       0.528818     -0.0725157
0.503141       0.529483     -0.0715825
0.503807       0.530147     -0.0706491
0.504473        0.53081     -0.0697157
0.505139       0.531473     -0.0687823
0.505804       0.532134     -0.0678488
0.506468       0.532794     -0.0669152
0.507132       0.533454     -0.0659816
0.507796       0.534113     -0.0650479
0.508458        0.53477     -0.0641142
0.509121       0.535427     -0.0631804
0.509782       0.536083     -0.0622466
